t_sett_75per X,t_sett_75per Y
0.002,1.365438739533175e-09
0.004,1.265358146057091e-09
0.006,1.207501971949207e-09
0.008,1.16620683969945e-09
0.01,1.134493378792804e-09
0.012,1.107808767288563e-09
0.014,1.085300752648429e-09
0.016,1.065415523975855e-09
0.018,1.047717971230332e-09
0.02,1.031710494904702e-09
0.022,1.016972568279198e-09
0.024,1.003349588201744e-09
0.026,9.9076464881521e-10
0.028,9.785957260656078e-10
0.03,9.673582366384727e-10
0.032,9.566902307082038e-10
0.034,9.462903013166537e-10
0.036,9.366413750115836e-10
0.038,9.270003146243505e-10
0.04,9.180502349858966e-10
0.042,9.092238465305161e-10
0.044,9.006978607452794e-10
0.046,8.924291483259181e-10
0.048,8.842917549691909e-10
0.05,8.765918696257583e-10
0.052,8.689209766907938e-10
0.054,8.614123980263646e-10
0.056,8.539998637154914e-10
0.058,8.468568527902547e-10
0.06,8.398137275529244e-10
0.062,8.329421988848196e-10
0.064,8.261988305449799e-10
0.066,8.195038726341165e-10
0.068,8.13000898432773e-10
0.07000000000000001,8.065560746730028e-10
0.07199999999999999,8.001499104576412e-10
0.074,7.939630251132962e-10
0.076,7.87802211965783e-10
0.078,7.817716897731078e-10
0.08,7.758328728269228e-10
0.082,7.700024126486904e-10
0.08400000000000001,7.642106919698783e-10
0.08599999999999999,7.584961804257736e-10
0.08799999999999999,7.528448095934839e-10
0.09,7.473591553660558e-10
0.092,7.418372754540427e-10
0.094,7.365212559501805e-10
0.096,7.312147876396691e-10
0.098,7.259861270711332e-10
0.1,7.207872569572998e-10
